 ,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sale Amount,Cost Price,Profit,Payment Mode,Delivery Status,Auto Reorder,Reorder Quantity,Supplier Name,Supplier Email,Stock Left
ORD1018,05-09-2024,07-09-2024,CUST614,Steven Williams,Consumer,PROD2786,Sofa,Furniture,East,Wyoming,Toddfort,3,4458,10,12036.6,7393.88,4642.72,Credit Card,Delivered,Yes,24,Simmons-Mcpherson,jose52@example.org,8
ORD1019,30-10-2025,04-11-2025,CUST249,Joseph Powers,Home Office,PROD2295,Juice Pack,Grocery,South,Florida,East Davidtown,8,2491,10,17935.2,11376.28,6558.92,Net Banking,Returned,No,0,Mueller-Johns,matthewfernandez@example.com,26
ORD1020,30-07-2024,01-08-2024,CUST971,Kristina Santiago,Home Office,PROD5755,File Folder,Office Supplies,North,Maryland,Richardchester,3,1887,0,5661,4177.85,1483.15,UPI,Delivered,No,0,Lewis-Shaw,cvaldez@example.net,32
ORD1021,01-10-2024,02-10-2024,CUST913,Derek Price,Consumer,PROD7593,Monitor,Electronics,West,Idaho,Jayfurt,8,4732,20,30284.8,24601.32,5683.48,UPI,Delivered,No,0,Scott Group,eileenshepherd@example.net,47
ORD1022,10-07-2025,17-07-2025,CUST492,Dustin Norton,Corporate,PROD9129,Calculator,Office Supplies,South,North Carolina,Lake Tommy,8,2241,20,14342.4,10723.52,3618.88,Debit Card,Returned,Yes,21,"Hall, Stevenson and Zamora",hernandezjohn@example.net,0
ORD1023,29-12-2023,01-01-2024,CUST173,John Franklin,Corporate,PROD4094,Sugar,Grocery,North,Illinois,South Billyview,6,2985,10,16119,10609.26,5509.74,Debit Card,Delivered,No,0,Brewer Group,james74@example.org,16
ORD1024,18-01-2024,22-01-2024,CUST185,Hannah Burns,Home Office,PROD3875,Calculator,Office Supplies,North,Ohio,Burkemouth,10,228,20,1824,1139.18,684.82,Net Banking,Cancelled,No,0,"Morrow, Lloyd and Davis",gary40@example.com,46
ORD1025,29-10-2024,03-11-2024,CUST411,Dr. Nicole Grant,Consumer,PROD1064,Rice Bag,Grocery,East,Washington,Richborough,2,2217,10,3990.6,3455.6,535,Net Banking,Pending,No,0,"Shaffer, Lynch and Collins",kaiserbrandon@example.org,21
ORD1026,18-10-2024,20-10-2024,CUST518,Daniel Black,Corporate,PROD8805,Notebook,Office Supplies,West,Vermont,South Melissachester,4,3529,20,11292.8,9916.72,1376.08,Cash,Pending,No,0,Massey-Mitchell,daviscraig@example.net,48
ORD1027,31-08-2024,06-09-2024,CUST375,Victoria Stone,Home Office,PROD6074,Snacks,Grocery,East,North Carolina,New Erika,1,3696,10,3326.4,2797.71,528.69,Credit Card,Delivered,No,0,"Gibbs, Pearson and Jackson",kylejohnson@example.com,29
ORD1028,14-09-2025,20-09-2025,CUST421,Jennifer Johnson,Home Office,PROD3853,Stapler,Office Supplies,South,California,Loganview,6,4056,10,21902.4,16625.24,5277.16,Cash,Cancelled,No,0,Rich-Todd,stevethompson@example.net,36
ORD1029,09-06-2024,12-06-2024,CUST547,Rebecca Phillips,Home Office,PROD8949,Mouse,Electronics,East,Pennsylvania,Davidfort,10,2921,5,27749.5,17410.15,10339.35,Debit Card,Returned,Yes,21,Davis-Lopez,ogray@example.org,8
ORD1030,21-01-2024,27-01-2024,CUST143,Victoria Williams,Corporate,PROD6527,Rice Bag,Grocery,West,Arizona,Kingchester,2,2162,10,3891.6,2980.52,911.08,Credit Card,Cancelled,No,0,Preston-Chan,jenkinscheryl@example.org,18
ORD1031,10-01-2025,12-01-2025,CUST137,Amanda Richmond,Corporate,PROD7766,Monitor,Electronics,South,Vermont,Bentleyhaven,8,4569,20,29241.6,25764.21,3477.39,UPI,Delivered,No,0,"Griffin, Myers and Diaz",wilsondennis@example.org,18
ORD1032,16-03-2025,18-03-2025,CUST219,Nicholas Black,Corporate,PROD1414,File Folder,Office Supplies,East,Louisiana,Lake Mary,6,2783,20,13358.4,9789.15,3569.25,Cash,Cancelled,Yes,29,Bowers-Wilkinson,frankfleming@example.org,6
ORD1033,24-10-2025,27-10-2025,CUST787,Rachel Townsend,Home Office,PROD5739,Notebook,Office Supplies,West,Georgia,Thomasfort,9,3468,0,31212,22083.76,9128.24,UPI,Returned,No,0,Wheeler and Sons,bgarcia@example.net,17
ORD1034,13-04-2024,20-04-2024,CUST139,Julia Shaffer,Consumer,PROD2913,Notebook,Office Supplies,North,Vermont,North Kevinland,8,4148,15,28206.4,21464.32,6742.08,Debit Card,Pending,No,0,Cowan PLC,ohorne@example.com,37
ORD1035,17-12-2024,19-12-2024,CUST406,Christine Baker,Home Office,PROD4982,Juice Pack,Grocery,North,Mississippi,Shawnview,10,797,10,7173,6012,1161,Cash,Cancelled,No,0,"Good, Mcdonald and Rowe",briangross@example.net,17
ORD1036,30-08-2025,03-09-2025,CUST466,Destiny Herrera,Home Office,PROD3882,Notebook,Office Supplies,West,New Jersey,East Carolyn,2,405,20,648,472.3,175.7,Cash,Cancelled,No,0,Moreno Group,velasquezregina@example.com,16
ORD1037,13-10-2024,16-10-2024,CUST141,Richard Wright,Corporate,PROD2880,Pen,Office Supplies,South,Indiana,Port James,7,303,20,1696.8,1064.78,632.02,Debit Card,Pending,No,0,Winters Ltd,parksnichole@example.com,32
ORD1038,05-11-2023,08-11-2023,CUST716,John Brooks,Consumer,PROD3803,Dining Table,Furniture,North,New York,West Jonathanview,8,2255,5,17138,14550.84,2587.16,Debit Card,Pending,No,0,Ramos-Pope,erika30@example.org,27
ORD1039,10-07-2025,16-07-2025,CUST102,Kristin Leon,Corporate,PROD1250,Sofa,Furniture,South,Vermont,North Zachary,5,3817,5,18130.75,15459.49,2671.26,Credit Card,Returned,Yes,27,Clarke Inc,sherryschmidt@example.com,2
ORD1040,03-07-2025,10-07-2025,CUST872,Daniel Hayes,Home Office,PROD8394,Snacks,Grocery,South,West Virginia,South Waynemouth,3,3991,15,10177.05,8476.92,1700.13,UPI,Returned,No,0,Evans Inc,colechristina@example.net,14
ORD1041,18-10-2025,22-10-2025,CUST316,Michael Garcia,Corporate,PROD8711,Pen,Office Supplies,South,Nevada,Stewartport,5,809,0,4045,3137.8,907.2,Credit Card,Cancelled,No,0,Mclaughlin-Bradley,pkline@example.net,27
ORD1042,08-11-2024,09-11-2024,CUST394,Christopher Short,Consumer,PROD1236,Study Table,Furniture,South,New Mexico,North Sheryl,2,4566,0,9132,5676.59,3455.41,Net Banking,Delivered,No,0,Miller-Dougherty,jvargas@example.net,24
ORD1043,24-05-2024,26-05-2024,CUST605,Marcus Norton,Consumer,PROD7743,Snacks,Grocery,South,Louisiana,Diamondville,8,4152,0,33216,25895.4,7320.6,Cash,Delivered,No,0,"Ramsey, Willis and Murray",summerperez@example.org,18
ORD1044,05-07-2024,08-07-2024,CUST393,Lori Anderson,Home Office,PROD4032,Cooking Oil,Grocery,East,Massachusetts,Gilbertfort,8,3238,0,25904,20113.15,5790.85,Debit Card,Cancelled,No,0,Watkins Group,nicolehansen@example.com,43
ORD1045,09-11-2023,11-11-2023,CUST907,Patricia Rose,Home Office,PROD7596,Rice Bag,Grocery,East,Arkansas,Olsenport,7,1514,0,10598,9141.67,1456.33,Cash,Cancelled,No,0,"Valencia, Mahoney and Vega",adamhicks@example.org,15
ORD1046,14-07-2024,21-07-2024,CUST346,Angel Jones,Home Office,PROD5547,Office Chair,Furniture,North,Tennessee,Port Megan,7,4172,10,26283.6,18651.15,7632.45,Cash,Returned,No,0,Peterson LLC,vanessa85@example.org,23
ORD1047,20-07-2024,24-07-2024,CUST187,Fred Harrison,Home Office,PROD7547,Calculator,Office Supplies,South,New Hampshire,New Markmouth,5,1392,20,5568,4222.63,1345.37,Net Banking,Delivered,No,0,"Harris, Mercer and Green",barbara00@example.net,13
ORD1048,14-12-2024,18-12-2024,CUST378,Barbara Terrell,Home Office,PROD5125,Office Chair,Furniture,South,Washington,Nielsenshire,3,569,15,1450.95,914.5,536.45,Debit Card,Pending,Yes,24,Taylor and Sons,jonesnathan@example.com,1
ORD1049,05-04-2025,12-04-2025,CUST945,Tracy Brown,Consumer,PROD4541,Dining Table,Furniture,West,Colorado,Simpsonland,10,4274,20,34192,25855.27,8336.73,Cash,Returned,No,0,White and Sons,qfloyd@example.net,29
ORD1050,02-09-2025,05-09-2025,CUST585,Andrew Rose,Corporate,PROD2501,Calculator,Office Supplies,North,Oregon,South Bridget,1,2915,15,2477.75,1697.23,780.52,Credit Card,Delivered,No,0,Reeves and Sons,brandywebb@example.com,25
ORD1051,05-11-2024,08-11-2024,CUST997,Stephen Harris,Home Office,PROD5605,Snacks,Grocery,East,Massachusetts,Lake Scott,2,4201,5,7981.9,7138.76,843.14,Credit Card,Returned,No,0,Wilson-Smith,dbrown@example.org,29
ORD1052,02-06-2024,06-06-2024,CUST591,Jimmy Reilly,Corporate,PROD1893,Cooking Oil,Grocery,North,Minnesota,North Jeffrey,4,581,20,1859.2,1142.65,716.55,Credit Card,Pending,Yes,49,Harmon and Sons,howelldouglas@example.net,1
ORD1053,17-05-2024,21-05-2024,CUST290,William Moreno,Corporate,PROD9471,Dining Table,Furniture,East,Arkansas,Montoyashire,1,1711,10,1539.9,1304.6,235.3,Net Banking,Delivered,No,0,"Coleman, Chapman and Francis",grichardson@example.net,10
ORD1054,10-01-2025,13-01-2025,CUST544,Michelle Chavez,Consumer,PROD1413,Laptop,Electronics,East,Hawaii,Caroltown,1,2311,15,1964.35,1687.94,276.41,Debit Card,Cancelled,No,0,"King, Michael and Lee",eevans@example.org,39
ORD1055,21-09-2024,26-09-2024,CUST869,Tricia Webb,Home Office,PROD7803,Sofa,Furniture,South,North Dakota,South Amanda,5,1174,10,5283,3574.61,1708.39,Cash,Cancelled,Yes,25,"Hodges, Alvarado and Green",vboyle@example.com,4
ORD1056,11-04-2025,13-04-2025,CUST486,Sharon Cordova,Home Office,PROD3694,Office Chair,Furniture,West,Maryland,Lake Julie,6,4898,10,26449.2,18647.13,7802.07,Net Banking,Delivered,No,0,"Rivera, Fowler and Glover",james25@example.org,48
ORD1057,07-01-2024,14-01-2024,CUST310,Darrell Henderson,Consumer,PROD1230,Monitor,Electronics,North,South Carolina,South Frankville,2,3471,10,6247.8,5404.41,843.39,Cash,Returned,No,0,May Inc,jasonsmith@example.org,35
ORD1058,30-10-2024,31-10-2024,CUST694,Jonathan King,Home Office,PROD6087,Pen,Office Supplies,North,Virginia,Hernandezstad,5,4367,10,19651.5,15168.64,4482.86,Credit Card,Pending,No,0,"Wallace, Carrillo and Cooper",rodgersbrenda@example.com,50
ORD1059,21-05-2025,28-05-2025,CUST955,Kylie Brock,Corporate,PROD5403,Cooking Oil,Grocery,South,Rhode Island,Port Angelafort,8,4847,0,38776,25580.29,13195.71,Cash,Pending,No,0,Hernandez-Johnson,david38@example.com,38
ORD1060,12-03-2025,17-03-2025,CUST360,Barbara Hernandez MD,Corporate,PROD6371,Keyboard,Electronics,West,Hawaii,West Tracyhaven,9,1555,0,13995,10973.05,3021.95,Cash,Pending,No,0,Wolfe-Padilla,dustin23@example.net,37
ORD1061,29-09-2025,04-10-2025,CUST885,Kevin Nicholson,Consumer,PROD8934,Sugar,Grocery,South,Minnesota,Donaldside,7,4280,0,29960,19008.23,10951.77,Cash,Delivered,No,0,"Lopez, Rodriguez and Simpson",nathanreed@example.com,44
ORD1062,06-11-2024,12-11-2024,CUST623,Micheal Smith,Corporate,PROD6317,Cooking Oil,Grocery,South,Oklahoma,Rojasshire,7,2990,0,20930,12726.36,8203.64,Cash,Pending,No,0,Reed-Garcia,christopherjones@example.com,26
ORD1063,17-11-2023,21-11-2023,CUST670,Alexander Price,Home Office,PROD5902,Bookshelf,Furniture,West,Texas,Cherryville,6,1560,0,9360,6204.39,3155.61,Cash,Delivered,No,0,"Wilson, Bullock and Dennis",jameslin@example.org,17
ORD1064,19-12-2024,26-12-2024,CUST102,Kimberly Robinson DDS,Corporate,PROD4136,Juice Pack,Grocery,North,Wyoming,Lewisshire,4,1313,20,4201.6,2887.75,1313.85,Credit Card,Delivered,No,0,Stewart-Rodriguez,pmoore@example.net,37
ORD1065,02-04-2024,08-04-2024,CUST854,Stephanie Calhoun,Corporate,PROD5794,Notebook,Office Supplies,North,Wyoming,Boydshire,5,552,15,2346,1588.16,757.84,Cash,Returned,No,0,Bradley PLC,smiller@example.com,39
ORD1066,14-06-2025,18-06-2025,CUST196,Kathleen Greene,Home Office,PROD3932,Pen,Office Supplies,West,Ohio,Nicholeborough,3,1998,20,4795.2,3521.82,1273.38,Debit Card,Pending,Yes,28,Davis Group,deborahcalderon@example.com,7
ORD1067,20-09-2025,22-09-2025,CUST843,Thomas Hardy,Corporate,PROD9863,Pen,Office Supplies,South,Maine,West James,1,3562,20,2849.6,2046.68,802.92,Net Banking,Returned,No,0,Taylor-Carpenter,teresa70@example.com,12
ORD1068,21-07-2024,23-07-2024,CUST635,Randall Stewart,Consumer,PROD8266,Juice Pack,Grocery,North,New Jersey,Port Susanton,1,2700,20,2160,1918.36,241.64,Debit Card,Delivered,No,0,Kim Ltd,kaitlyn76@example.com,26
ORD1069,23-07-2025,25-07-2025,CUST571,April Wade,Consumer,PROD7806,Snacks,Grocery,South,Kansas,East Karen,5,476,10,2142,1462.31,679.69,UPI,Delivered,No,0,Morales-Smith,campbellnicole@example.net,11
ORD1070,21-04-2024,24-04-2024,CUST820,Hannah Velazquez,Consumer,PROD2641,Office Chair,Furniture,West,Nebraska,Rodriguezville,7,4958,5,32970.7,19822.57,13148.13,UPI,Delivered,No,0,Johnson Inc,troyharrington@example.org,13
ORD1071,17-04-2024,24-04-2024,CUST765,Mr. Greg Lucas MD,Corporate,PROD1768,Rice Bag,Grocery,West,North Carolina,Andradeland,6,2700,5,15390,13641.73,1748.27,Credit Card,Delivered,No,0,Jackson-White,matthewhayes@example.com,41
ORD1072,08-04-2024,11-04-2024,CUST184,Dale Martinez,Corporate,PROD7315,Calculator,Office Supplies,North,Alaska,Lake Johnmouth,2,2296,5,4362.4,3860.95,501.45,Credit Card,Cancelled,No,0,Palmer-Black,margaret39@example.org,18
ORD1073,28-01-2025,02-02-2025,CUST942,Evan Osborne,Consumer,PROD4199,Sugar,Grocery,West,Wisconsin,Montgomeryport,5,977,0,4885,3798.45,1086.55,Cash,Cancelled,Yes,42,Crosby-Francis,wharvey@example.net,5
ORD1074,14-10-2024,20-10-2024,CUST255,Mark Lopez,Consumer,PROD6712,Monitor,Electronics,East,Kansas,New Robynfort,2,4239,0,8478,6305.55,2172.45,Cash,Returned,Yes,33,Brennan Inc,brett08@example.org,6
ORD1075,25-12-2024,28-12-2024,CUST474,Derek Hernandez,Consumer,PROD3919,Pen,Office Supplies,East,Oklahoma,Andreaville,1,2137,20,1709.6,1348.88,360.72,Credit Card,Delivered,No,0,Hernandez-Grimes,antoniohoward@example.org,21
ORD1076,23-08-2025,27-08-2025,CUST180,Ellen Little,Consumer,PROD9934,Dining Table,Furniture,East,Alabama,North Amandahaven,9,1689,10,13680.9,12040.39,1640.51,UPI,Pending,No,0,"Watson, Santos and Flynn",usullivan@example.com,29
ORD1077,23-07-2024,30-07-2024,CUST887,Jonathan Rivera,Corporate,PROD6390,Keyboard,Electronics,West,North Carolina,Alexport,10,3250,20,26000,16137.92,9862.08,Debit Card,Cancelled,No,0,"Henderson, Jones and Gonzalez",coxfelicia@example.org,17
ORD1078,23-06-2024,30-06-2024,CUST586,Christopher Flores,Consumer,PROD2312,Headphones,Electronics,West,Alaska,South Kimberlyfort,7,3393,20,19000.8,15766.11,3234.69,Cash,Pending,No,0,"Moore, Kim and Martin",timothymiller@example.com,44
ORD1079,23-11-2023,24-11-2023,CUST279,Danielle Anderson,Home Office,PROD6182,Notebook,Office Supplies,North,Colorado,Chapmanshire,4,4254,10,15314.4,11064,4250.4,Debit Card,Cancelled,Yes,39,"Gonzalez, Boone and Anderson",obrienashley@example.net,2
ORD1080,09-11-2024,13-11-2024,CUST297,Amy Cole,Corporate,PROD1020,Notebook,Office Supplies,West,Vermont,South Jeffrey,1,2125,10,1912.5,1440.96,471.54,Credit Card,Pending,No,0,Williams Inc,nwheeler@example.com,26
ORD1081,02-07-2024,03-07-2024,CUST392,Donna Garcia DVM,Corporate,PROD3323,Juice Pack,Grocery,East,Idaho,Hannahport,8,352,5,2675.2,1648.83,1026.37,Debit Card,Returned,No,0,Nelson Inc,erinnorman@example.com,49
ORD1082,08-06-2024,10-06-2024,CUST289,Brandon Nelson,Consumer,PROD6459,Calculator,Office Supplies,South,Massachusetts,Hardinmouth,1,2309,5,2193.55,1969.19,224.36,Cash,Delivered,No,0,Lewis Inc,ryanevans@example.net,15
ORD1083,26-02-2024,02-03-2024,CUST943,Laura Hall,Home Office,PROD7219,Notebook,Office Supplies,South,Mississippi,Kellerland,2,1562,10,2811.6,2154.44,657.16,Credit Card,Pending,No,0,Moore-Ramirez,jaclyndonovan@example.org,17
ORD1084,30-08-2025,06-09-2025,CUST625,Laurie Edwards,Home Office,PROD8827,Rice Bag,Grocery,North,Georgia,Torresburgh,9,562,15,4299.3,2754.08,1545.22,Credit Card,Cancelled,No,0,Todd-Calhoun,hendersonlisa@example.com,19
ORD1085,21-05-2024,25-05-2024,CUST733,Drew Johnson,Home Office,PROD3349,Headphones,Electronics,West,Illinois,East Rachel,10,1017,15,8644.5,6246.95,2397.55,Net Banking,Pending,No,0,Trevino LLC,jameslewis@example.com,44
ORD1086,19-11-2024,23-11-2024,CUST319,Michelle Patterson,Corporate,PROD5700,Laptop,Electronics,North,Michigan,Stacyton,5,2943,0,14715,11291.8,3423.2,Debit Card,Cancelled,No,0,Allen-Ryan,cummingsrussell@example.com,40
ORD1087,25-05-2024,01-06-2024,CUST256,Aaron Phillips,Corporate,PROD9042,Headphones,Electronics,South,Virginia,North Robertmouth,2,4598,15,7816.6,5307.08,2509.52,Net Banking,Cancelled,No,0,Young-Webb,davisjerry@example.org,14
ORD1088,02-08-2025,09-08-2025,CUST168,Terri Lamb,Consumer,PROD9012,Mouse,Electronics,North,West Virginia,South Staceyland,10,3814,15,32419,22051.35,10367.65,Net Banking,Delivered,No,0,"Dixon, Miller and Carroll",warrenchase@example.org,38
ORD1089,12-01-2024,18-01-2024,CUST322,Patricia Hood,Home Office,PROD8607,Monitor,Electronics,East,North Dakota,Hughesport,3,2594,5,7392.9,6482.1,910.8,Net Banking,Pending,No,0,Austin Ltd,daniel14@example.net,31
ORD1090,02-12-2024,09-12-2024,CUST305,Joseph Maddox,Home Office,PROD6600,Mouse,Electronics,East,Pennsylvania,Port Steven,2,4134,10,7441.2,5425.55,2015.65,Debit Card,Delivered,No,0,Hess and Sons,mdominguez@example.com,23
ORD1091,06-05-2025,09-05-2025,CUST961,William Woods,Corporate,PROD3570,Rice Bag,Grocery,South,Wyoming,Ryanborough,4,189,15,642.6,471.98,170.62,UPI,Pending,No,0,"Harrison, Stone and Caldwell",gordonconnor@example.net,39
ORD1092,27-11-2024,02-12-2024,CUST251,Corey Jackson,Corporate,PROD9964,Rice Bag,Grocery,North,Iowa,Nicolechester,6,2520,0,15120,12216.47,2903.53,UPI,Cancelled,No,0,"Shaw, Tucker and Bowman",frichardson@example.org,34
ORD1093,28-08-2025,04-09-2025,CUST375,Theresa Morrison,Consumer,PROD6474,Keyboard,Electronics,North,Arizona,West Ronald,5,2265,10,10192.5,6818.94,3373.56,Credit Card,Cancelled,Yes,33,"Miller, Edwards and Nielsen",jeremywelch@example.net,7
ORD1094,07-07-2025,12-07-2025,CUST570,Brittany Swanson,Home Office,PROD8664,Cooking Oil,Grocery,South,Maine,Albertberg,9,3396,15,25979.4,16256.99,9722.41,Cash,Returned,No,0,"Bennett, Peters and Griffin",karenjohnson@example.org,17
ORD1095,20-07-2024,26-07-2024,CUST148,Stephanie Burch,Consumer,PROD1074,Mouse,Electronics,North,Pennsylvania,Walkerland,5,4622,10,20799,13648.28,7150.72,Credit Card,Pending,No,0,Contreras Ltd,nathanmorris@example.net,27
ORD1096,01-05-2025,08-05-2025,CUST820,Shari Robinson,Corporate,PROD8525,Laptop,Electronics,West,Virginia,South Victorialand,2,4048,0,8096,7120.94,975.06,UPI,Cancelled,Yes,33,"Brown, Maxwell and Thomas",joshuaross@example.net,0
ORD1097,20-08-2024,23-08-2024,CUST134,Alexandra Casey,Home Office,PROD5637,Mouse,Electronics,North,Oklahoma,Port Vanessa,10,580,5,5510,4087.66,1422.34,Net Banking,Delivered,No,0,Castillo Group,jenna15@example.com,11
ORD1098,26-10-2024,02-11-2024,CUST673,April Mack,Consumer,PROD8944,Keyboard,Electronics,North,Missouri,New Davidstad,7,4816,15,28655.2,20886.62,7768.58,Net Banking,Pending,No,0,"Garcia, Dawson and Hernandez",browningsteven@example.org,47
ORD1099,15-03-2024,22-03-2024,CUST661,Kevin Johnson,Home Office,PROD7909,Snacks,Grocery,West,Idaho,Johnsonburgh,6,1062,10,5734.8,3648.76,2086.04,UPI,Delivered,No,0,Young Ltd,elaine34@example.com,33
ORD1100,03-09-2024,10-09-2024,CUST499,Margaret Wade,Home Office,PROD3182,Pen,Office Supplies,East,West Virginia,Leonardland,2,448,20,716.8,638.26,78.54,Credit Card,Delivered,No,0,Pham Group,xwheeler@example.org,18
ORD1101,09-07-2024,16-07-2024,CUST660,Amanda Morales,Consumer,PROD1562,Cooking Oil,Grocery,North,Massachusetts,Toddtown,8,1488,10,10713.6,6463.9,4249.7,UPI,Returned,No,0,"Schwartz, Williams and Barnett",hreyes@example.com,43
ORD1102,12-10-2024,19-10-2024,CUST381,Gregory Gutierrez,Consumer,PROD5449,Notebook,Office Supplies,South,Nevada,Lyonsmouth,8,3938,0,31504,22132.79,9371.21,Net Banking,Cancelled,No,0,"Lopez, Wilson and Fox",william07@example.org,35
ORD1103,15-03-2025,22-03-2025,CUST238,Timothy King,Consumer,PROD8957,Pen,Office Supplies,South,New Jersey,East Laurie,5,3748,15,15929,13920.58,2008.42,UPI,Returned,No,0,"Herrera, Jones and Vargas",lisa45@example.net,36
ORD1104,18-06-2025,20-06-2025,CUST653,Cynthia Evans,Consumer,PROD7235,Calculator,Office Supplies,South,Georgia,Port Cindy,2,4189,15,7121.3,6088.85,1032.45,Net Banking,Cancelled,No,0,Flowers-Macias,vegabrian@example.net,29
ORD1105,15-09-2025,17-09-2025,CUST689,Jose Pearson,Consumer,PROD4798,Snacks,Grocery,West,Kentucky,Jasonburgh,3,4781,20,11474.4,10307.6,1166.8,Debit Card,Delivered,No,0,Martin-Goodwin,christopherdickson@example.com,20
ORD1106,21-01-2024,27-01-2024,CUST173,Brian Barber,Home Office,PROD5348,Sofa,Furniture,North,Oregon,Jenniferfurt,6,3103,5,17687.1,12773.67,4913.43,Credit Card,Delivered,No,0,Ward Ltd,andrew40@example.com,38
